sample,largo_sepalo (cm),ancho_sepalo (cm),petal length (cm),petal width (cm),species,numero,signo,l_+_a_sepalo,n_x_la_sepalo,ratio_sepalo,ratio_petalo
Plant_treatment_28,6.1,3.0,4.9,1.8,virginica,0.9938916436931878,positivo,9.1,9.04441395760801,0.49180327868852464,49.180327868852466
Plant_treatment_18,7.7,3.8,6.7,2.2,virginica,0.9263028366559235,positivo,11.5,10.65248262154312,0.49350649350649345,49.35064935064935
Plant_treatment_69,5.1,3.4,1.5,0.2,setosa,0.9152528503569318,positivo,8.5,7.779649228033921,0.6666666666666667,66.66666666666667
Plant_treatment_5,6.5,3.0,5.8,2.2,virginica,0.8750454672219797,positivo,9.5,8.312931938608807,0.46153846153846156,46.15384615384615
Plant_treatment_41,6.7,3.1,5.6,2.4,virginica,0.8713610172377377,positivo,9.8,8.53933796892983,0.4626865671641791,46.26865671641791
Plant_treatment_33,6.4,2.8,5.6,2.2,virginica,0.8339732497315552,positivo,9.2,7.672553897530307,0.43749999999999994,43.74999999999999
Plant_treatment_61,5.1,3.7,1.5,0.4,setosa,0.8250454711224048,positivo,8.8,7.2604001458771625,0.7254901960784315,72.54901960784315
Plant_treatment_37,6.3,3.4,5.6,2.4,virginica,0.8176711949836303,positivo,9.7,7.931410591341213,0.5396825396825397,53.96825396825397
Plant_treatment_42,6.9,3.1,5.1,2.3,virginica,0.8022560377347264,positivo,10.0,8.022560377347265,0.4492753623188406,44.927536231884055
Plant_treatment_36,7.7,3.0,6.1,2.3,virginica,0.7923039260641437,positivo,10.7,8.477652008886336,0.38961038961038963,38.961038961038966
Plant_treatment_52,5.4,3.9,1.7,0.4,setosa,0.7871450140050428,positivo,9.3,7.320448630246898,0.7222222222222222,72.22222222222221
Plant_treatment_60,5.4,3.4,1.7,0.2,setosa,0.7841812521541744,positivo,8.8,6.900795018956735,0.6296296296296295,62.962962962962955
Plant_treatment_39,6.0,3.0,4.8,1.8,virginica,0.774543449114926,positivo,9.0,6.970891042034334,0.5,50.0
Plant_treatment_68,5.5,3.5,1.3,0.2,setosa,0.762636243316747,positivo,9.0,6.8637261898507225,0.6363636363636364,63.63636363636363
Plant_treatment_35,6.1,2.6,5.6,1.4,virginica,0.7532893455551871,positivo,8.7,6.5536173063301275,0.42622950819672134,42.622950819672134
Plant_treatment_13,6.8,3.0,5.5,2.1,virginica,0.7508975243292146,positivo,9.8,7.358795738426304,0.4411764705882353,44.11764705882353
Plant_treatment_56,5.4,3.9,1.3,0.4,setosa,0.7091363424199811,positivo,9.3,6.594967984505825,0.7222222222222222,72.22222222222221
Plant_treatment_66,5.2,4.1,1.5,0.1,setosa,0.6928205616583393,positivo,9.3,6.443231223422556,0.7884615384615383,78.84615384615384
Plant_treatment_43,5.8,2.7,5.1,1.9,virginica,0.6867721747518741,positivo,8.5,5.83756348539093,0.4655172413793104,46.55172413793104
Plant_treatment_53,5.4,3.7,1.5,0.2,setosa,0.6712051016336349,positivo,9.100000000000001,6.1079664248660785,0.6851851851851851,68.5185185185185
Plant_treatment_16,6.4,3.2,5.3,2.3,virginica,0.6478082400056322,positivo,9.600000000000001,6.21895910405407,0.5,50.0
Plant_treatment_15,5.8,2.8,5.1,2.4,virginica,0.6450442366459561,positivo,8.6,5.5473804351552225,0.48275862068965514,48.275862068965516
Plant_treatment_4,6.3,2.9,5.6,1.8,virginica,0.5971852938115769,positivo,9.2,5.494104703066507,0.4603174603174603,46.03174603174603
Plant_treatment_65,5.4,3.4,1.5,0.4,setosa,0.5964379504828743,positivo,8.8,5.248653964249294,0.6296296296296295,62.962962962962955
Plant_treatment_38,6.4,3.1,5.5,1.8,virginica,0.5683788501914662,positivo,9.5,5.399599076818928,0.484375,48.4375
Plant_treatment_30,7.2,3.0,5.8,1.6,virginica,0.567644939872409,positivo,10.2,5.7899783866985715,0.41666666666666663,41.666666666666664
Plant_treatment_26,7.2,3.2,6.0,1.8,virginica,0.5626896348217942,positivo,10.4,5.85197220214666,0.4444444444444445,44.44444444444445
Plant_treatment_54,5.8,4.0,1.2,0.2,setosa,0.5406710756606408,positivo,9.8,5.29857654147428,0.6896551724137931,68.96551724137932
Plant_treatment_46,6.7,3.0,5.2,2.3,virginica,0.5283705681602074,positivo,9.7,5.125194511154012,0.44776119402985076,44.776119402985074
Plant_treatment_72,5.3,3.7,1.5,0.2,setosa,0.5263098871471475,positivo,9.0,4.736788984324328,0.6981132075471699,69.81132075471699
Plant_treatment_17,6.5,3.0,5.5,1.8,virginica,0.5100893250606575,positivo,9.5,4.8458485880762465,0.46153846153846156,46.15384615384615
Plant_treatment_8,7.3,2.9,6.3,1.8,virginica,0.5068053249278944,positivo,10.2,5.169414314264523,0.3972602739726027,39.726027397260275
Plant_treatment_22,5.6,2.8,4.9,2.0,virginica,0.5018540490581264,positivo,8.399999999999999,4.21557401208826,0.5,50.0
Plant_treatment_67,5.5,4.2,1.4,0.2,setosa,0.4988864870383566,negativo,9.7,4.8391989242720586,0.7636363636363637,76.36363636363637
Plant_treatment_19,7.7,2.6,6.9,2.3,virginica,0.49656685251800203,negativo,10.3,5.114638580935421,0.33766233766233766,33.76623376623377
Plant_treatment_64,5.2,3.4,1.4,0.2,setosa,0.49439872156532527,negativo,8.6,4.251829005461797,0.6538461538461539,65.38461538461539
